,datetime,colB_mas_cercano
6200,44639.119419999995,44639.119380000004
6201,44639.11977,44639.11986
6202,44639.12012,44639.12007
6203,44639.12047,44639.12056
6204,44639.12082,44639.120760000005
6205,44639.12116,44639.12125
6206,44639.121510000004,44639.12146
6207,44639.12186,44639.12194
6208,44639.12221,44639.12215
6209,44639.12256,44639.122639999994
6210,44639.12326,44639.12333
6211,44639.12361,44639.12354
6212,44639.123960000004,44639.12403
6213,44639.12431,44639.12424
6214,44639.12466,44639.12472
6215,44639.125,44639.12493
6216,44639.12535,44639.12542
6217,44639.1257,44639.12563
6218,44639.12605,44639.126110000005
6219,44639.1264,44639.126319999996
6220,44639.12675,44639.12681
6221,44639.1271,44639.127010000004
6222,44639.12745,44639.1275
6223,44639.1278,44639.12771
6224,44639.12815,44639.128189999996
6225,44639.1285,44639.1284
6226,44639.12989,44639.12979
6227,44639.13024,44639.13028
6228,44639.13059,44639.130489999996
6229,44639.130939999995,44639.13097
6230,44639.13129,44639.131180000004
6231,44639.1326,44639.13257
6232,44639.13295,44639.132860000005
6233,44639.1333,44639.13326
6234,44639.13364,44639.13355
6235,44639.133989999995,44639.13396
6236,44639.13434,44639.13425
6237,44639.13469,44639.13465
6238,44639.13504,44639.13514
6239,44639.135389999996,44639.13535
6240,44639.13574,44639.13583
6241,44639.13609,44639.13604
6242,44639.136439999995,44639.13653
6243,44639.13679,44639.136739999994
6244,44639.13714,44639.13722
6245,44639.13749,44639.13743
6246,44639.13783,44639.13792
6247,44639.13818,44639.13813
6248,44639.138530000004,44639.13861
6249,44639.13888,44639.13882
6250,44639.13923,44639.139310000006
6251,44639.13958,44639.13951
6252,44639.141169999995,44639.141189999995
6253,44639.14152,44639.1416
6254,44639.14187,44639.14189
6255,44639.14222,44639.142289999996
6256,44639.142569999996,44639.14258
6257,44639.14292,44639.14299
6258,44639.14443,44639.14438
6259,44639.14478,44639.14486
6260,44639.145130000004,44639.14507
6261,44639.14548,44639.145560000004
6262,44639.14583,44639.14576
6263,44639.14618,44639.14625
6264,44639.14652,44639.14646
6265,44639.14687,44639.14694
6266,44639.14722,44639.14715
6267,44639.14757,44639.147639999996
6268,44639.147919999996,44639.14785
6269,44639.14827,44639.14833
6270,44639.14862,44639.148539999995
6271,44639.14897,44639.14903
6272,44639.14932,44639.14924
6273,44639.14967,44639.14972
6274,44639.15002,44639.14993
6275,44639.150369999996,44639.15042
6276,44639.15071,44639.150630000004
6277,44639.151060000004,44639.15111
6278,44639.151410000006,44639.15132
6279,44639.15176,44639.15181
6280,44639.15211,44639.152010000005
6281,44639.152460000005,44639.1525
6282,44639.15281,44639.15271
6283,44639.15316,44639.15319
6284,44639.153510000004,44639.1534
6285,44639.153860000006,44639.153889999994
6286,44639.15421,44639.1541
6287,44639.15532,44639.1553
6288,44639.155660000004,44639.15578
6289,44639.15601,44639.155999999995
6290,44639.15636,44639.15647
