"group","P2_ind","V1_date","V1_date_time","V1_date_time_num","Vent_Gate_1","Vent_Gate_2","Seeing_mean"
0,1,"04/23/2022",2022-04-23 20:44:13,1650771853.47892,50,50,0.60248659
0,1,"04/23/2022",2022-04-23 20:44:43,1650771883.64308,50,50,0.64857785
0,1,"04/23/2022",2022-04-23 20:45:13,1650771913.8072,50,50,0.63623737
0,1,"04/23/2022",2022-04-23 20:45:43,1650771943.97153,50,50,0.55850095
316,1,"04/23/2022",2022-04-23 20:46:14,1650771974.13561,50,50,0.67091586
0,1,"04/23/2022",2022-04-23 20:46:44,1650772004.29975,50,50,0.59464847
0,1,"04/23/2022",2022-04-23 20:47:14,1650772034.46388,50,50,0.90353096
0,1,"04/23/2022",2022-04-23 20:47:44,1650772064.62811,50,50,0.60166903
0,1,"04/23/2022",2022-04-23 20:48:14,1650772094.79224,50,50,0.57770344
0,1,"04/23/2022",2022-04-23 20:48:44,1650772124.95642,50,50,0.69839647
0,1,"04/23/2022",2022-04-23 20:49:15,1650772155.127,50,50,0.83451316
0,1,"04/23/2022",2022-04-23 20:49:45,1650772185.28478,50,50,0.7937081
0,1,"04/23/2022",2022-04-23 20:50:15,1650772215.44894,50,50,0.64914629
0,1,"04/23/2022",2022-04-23 20:50:45,1650772245.61314,50,50,0.60013997
0,1,"04/23/2022",2022-04-23 20:51:15,1650772275.77724,50,50,0.50211495
0,1,"04/23/2022",2022-04-23 20:51:47,1650772307.27369,50,50,1.0768993
0,1,"04/23/2022",2022-04-23 20:52:17,1650772337.43789,50,50,0.60608812
0,1,"04/23/2022",2022-04-23 20:52:47,1650772367.60204,50,50,0.68161272
0,1,"04/23/2022",2022-04-23 20:53:17,1650772397.76671,50,50,0.62214102
0,1,"04/23/2022",2022-04-23 20:53:47,1650772427.93043,50,50,0.74013971
0,1,"04/23/2022",2022-04-23 20:54:18,1650772458.09452,50,50,0.88242152
0,1,"04/23/2022",2022-04-23 20:54:48,1650772488.25882,50,50,0.71407698
0,1,"04/23/2022",2022-04-23 20:55:18,1650772518.42283,50,50,0.72974587
0,1,"04/23/2022",2022-04-23 20:55:48,1650772548.58707,50,50,0.79786575
0,1,"04/23/2022",2022-04-23 20:56:18,1650772578.75135,50,50,0.74209499
0,1,"04/23/2022",2022-04-23 20:56:48,1650772608.91548,50,50,0.72629507
0,1,"04/23/2022",2022-04-23 20:57:19,1650772639.07948,50,50,0.73802248
0,1,"04/23/2022",2022-04-23 20:57:49,1650772669.24373,50,50,0.67041061
0,1,"04/23/2022",2022-04-23 20:58:19,1650772699.40786,50,50,0.62222762
0,1,"04/23/2022",2022-04-23 20:58:49,1650772729.57207,50,50,0.51683995
