,datetime,fecha,windSp
440,44563.51667,1/2/22 12:24,6.1
441,44563.52014,1/2/22 12:29,0.1
442,44563.523610000004,1/2/22 12:34,7.1
443,44563.52708,1/2/22 12:39,6.3
444,44563.53056,1/2/22 12:44,6.5
445,44563.53403,1/2/22 12:49,5.7
446,44563.5375,1/2/22 12:54,5.3
447,44563.54097,1/2/22 12:59,5.9
448,44563.54444,1/2/22 13:04,5.6
449,44563.54792,1/2/22 13:09,5.5
450,44563.55139,1/2/22 13:14,5.8
451,44563.554860000004,1/2/22 13:19,5.7
452,44563.55833,1/2/22 13:24,4.8
453,44563.57222,1/2/22 13:44,5.4
454,44563.57569,1/2/22 13:49,5.3
455,44563.57917,1/2/22 13:54,4.3
456,44563.58264,1/2/22 13:59,5.0
457,44563.586110000004,1/2/22 14:04,4.2
458,44563.58958,1/2/22 14:09,4.3
459,44563.59306,1/2/22 14:14,4.9
460,44563.59653,1/2/22 14:19,4.2
461,44563.6,1/2/22 14:24,3.2
462,44563.60347,1/2/22 14:29,3.5
463,44563.60694,1/2/22 14:34,2.5
464,44563.61042,1/2/22 14:39,3.7
465,44563.61389,1/2/22 14:44,2.9
466,44563.617360000004,1/2/22 14:49,2.6
467,44563.62083,1/2/22 14:54,2.2
468,44563.62431,1/2/22 14:59,1.7
469,44563.62778,1/2/22 15:04,3.2
470,44563.63125,1/2/22 15:09,3.3
471,44563.63472,1/2/22 15:14,2.2
472,44563.63819,1/2/22 15:19,3.4
473,44563.64167,1/2/22 15:24,2.6
474,44563.64514,1/2/22 15:29,3.4
475,44563.648610000004,1/2/22 15:34,3.9
476,44563.65208,1/2/22 15:39,3.6
477,44563.65556,1/2/22 15:44,2.8
478,44563.65903,1/2/22 15:49,3.0
479,44563.6625,1/2/22 15:54,1.6
480,44563.66597,1/2/22 15:59,2.2
481,44563.66944,1/2/22 16:04,1.5
482,44563.67292,1/2/22 16:09,2.1
483,44563.67639,1/2/22 16:14,1.5
484,44563.679860000004,1/2/22 16:19,2.5
485,44563.68333,1/2/22 16:24,2.6
486,44563.68681,1/2/22 16:29,3.0
487,44563.69028,1/2/22 16:34,2.4
488,44563.69375,1/2/22 16:39,2.9
489,44563.69722,1/2/22 16:44,4.0
490,44563.70069,1/2/22 16:49,1.7
491,44563.70417,1/2/22 16:54,2.4
492,44563.70764,1/2/22 16:59,3.0
493,44563.711110000004,1/2/22 17:04,5.6
494,44563.71458,1/2/22 17:09,1.7
495,44563.71806,1/2/22 17:14,4.7
496,44563.72153,1/2/22 17:19,2.8
497,44563.725,1/2/22 17:24,4.8
498,44563.72847,1/2/22 17:29,5.4
499,44563.73194,1/2/22 17:34,3.8
500,44563.73542,1/2/22 17:39,3.3
501,44563.73889,1/2/22 17:44,6.0
502,44563.742360000004,1/2/22 17:49,6.3
503,44563.74583,1/2/22 17:54,6.0
504,44563.74931,1/2/22 17:59,6.6
505,44563.75278,1/2/22 18:04,7.8
506,44563.75625,1/2/22 18:09,4.7
507,44563.75972,1/2/22 18:14,8.2
508,44563.76319,1/2/22 18:19,6.2
509,44563.76667,1/2/22 18:24,4.3
510,44563.77014,1/2/22 18:29,3.6
511,44563.773610000004,1/2/22 18:34,3.1
512,44563.77708,1/2/22 18:39,6.1
513,44563.78056,1/2/22 18:44,5.2
514,44563.78403,1/2/22 18:49,5.7
515,44563.7875,1/2/22 18:54,3.8
516,44563.79097,1/2/22 18:59,4.7
517,44563.79444,1/2/22 19:04,5.6
518,44563.79792,1/2/22 19:09,2.2
519,44563.80139,1/2/22 19:14,5.2
520,44563.804860000004,1/2/22 19:19,4.1
521,44563.80833,1/2/22 19:24,5.1
522,44563.81181,1/2/22 19:29,4.1
523,44563.81528,1/2/22 19:34,2.0
524,44563.81875,1/2/22 19:39,2.7
525,44563.82222,1/2/22 19:44,4.8
526,44563.82569,1/2/22 19:49,3.7
527,44563.82917,1/2/22 19:54,2.2
528,44563.83264,1/2/22 19:59,3.2
529,44563.836110000004,1/2/22 20:04,4.2
530,44563.83958,1/2/22 20:09,5.7
531,44563.84306,1/2/22 20:14,3.5
532,44563.85347,1/2/22 20:29,3.9
533,44563.85694,1/2/22 20:34,4.4
534,44563.86042,1/2/22 20:39,6.3
535,44563.86389,1/2/22 20:44,2.7
536,44563.867360000004,1/2/22 20:49,5.8
537,44563.87083,1/2/22 20:54,4.1
538,44563.87431,1/2/22 20:59,5.7
539,44563.87778,1/2/22 21:04,2.2
540,44563.88125,1/2/22 21:09,3.5
541,44563.88472,1/2/22 21:14,2.3
542,44563.88819,1/2/22 21:19,5.0
543,44563.89167,1/2/22 21:24,4.8
544,44563.89514,1/2/22 21:29,2.6
545,44563.898610000004,1/2/22 21:34,5.7
546,44563.90208,1/2/22 21:39,3.5
547,44563.90556,1/2/22 21:44,5.6
548,44563.90903,1/2/22 21:49,4.4
549,44563.9125,1/2/22 21:54,4.3
550,44563.91597,1/2/22 21:59,4.9
551,44563.91944,1/2/22 22:04,3.6
552,44563.92292,1/2/22 22:09,6.1
553,44563.92639,1/2/22 22:14,4.5
554,44563.929860000004,1/2/22 22:19,2.9
555,44563.93333,1/2/22 22:24,5.4
556,44563.93681,1/2/22 22:29,5.5
557,44563.94028,1/2/22 22:34,3.6
558,44563.94375,1/2/22 22:39,4.2
559,44563.94722,1/2/22 22:44,3.1
560,44563.95069,1/2/22 22:49,2.0
561,44563.95417,1/2/22 22:54,2.5
562,44563.95764,1/2/22 22:59,2.3
563,44563.961110000004,1/2/22 23:04,2.1
564,44563.96458,1/2/22 23:09,2.8
565,44563.975,1/2/22 23:24,2.8
566,44563.97847,1/2/22 23:29,1.8
567,44563.98194,1/2/22 23:34,2.0
568,44563.98542,1/2/22 23:39,2.5
569,44563.98889,1/2/22 23:44,4.4
570,44563.992360000004,1/2/22 23:49,2.3
571,44563.99583,1/2/22 23:54,3.3
572,44563.99931,1/2/22 23:59,2.8
573,44564.00278,1/3/22 0:04,1.8
574,44564.00625,1/3/22 0:09,3.6
575,44564.01667,1/3/22 0:24,4.4
576,44564.02708,1/3/22 0:39,4.0
577,44564.03056,1/3/22 0:44,4.7
578,44564.03403,1/3/22 0:49,4.4
579,44564.0375,1/3/22 0:54,3.7
580,44564.04097,1/3/22 0:59,4.3
581,44564.04444,1/3/22 1:04,2.9
582,44564.04792,1/3/22 1:09,3.7
583,44564.05139,1/3/22 1:14,5.1
584,44564.054860000004,1/3/22 1:19,5.4
585,44564.05833,1/3/22 1:24,3.4
586,44564.06181,1/3/22 1:29,3.3
587,44564.06528,1/3/22 1:34,4.0
588,44564.06875,1/3/22 1:39,3.4
589,44564.07222,1/3/22 1:44,3.8
590,44564.07569,1/3/22 1:49,4.5
591,44564.07917,1/3/22 1:54,5.0
592,44564.08264,1/3/22 1:59,4.9
593,44564.086110000004,1/3/22 2:04,5.7
594,44564.08958,1/3/22 2:09,3.5
595,44564.09306,1/3/22 2:14,4.4
596,44564.09653,1/3/22 2:19,4.3
597,44564.1,1/3/22 2:24,4.6
598,44564.10347,1/3/22 2:29,4.1
599,44564.10694,1/3/22 2:34,4.2
600,44564.11042,1/3/22 2:39,4.0
601,44564.11389,1/3/22 2:44,4.6
602,44564.117360000004,1/3/22 2:49,4.2
603,44564.12083,1/3/22 2:54,4.9
604,44564.12431,1/3/22 2:59,3.5
605,44564.12778,1/3/22 3:04,3.9
606,44564.13819,1/3/22 3:19,4.1
607,44564.14167,1/3/22 3:24,4.0
608,44564.14514,1/3/22 3:29,4.6
609,44564.148610000004,1/3/22 3:34,4.0
610,44564.15208,1/3/22 3:39,4.9
611,44564.15556,1/3/22 3:44,4.0
612,44564.15903,1/3/22 3:49,4.8
613,44564.1625,1/3/22 3:54,6.2
614,44564.16597,1/3/22 3:59,3.4
615,44564.16944,1/3/22 4:04,4.8
616,44564.179860000004,1/3/22 4:19,4.2
617,44564.18333,1/3/22 4:24,4.0
618,44564.18681,1/3/22 4:29,3.9
619,44564.19028,1/3/22 4:34,3.8
620,44564.19375,1/3/22 4:39,3.5
621,44564.19722,1/3/22 4:44,3.7
622,44564.20069,1/3/22 4:49,3.5
623,44564.20417,1/3/22 4:54,4.4
624,44564.20764,1/3/22 4:59,4.0
625,44564.211110000004,1/3/22 5:04,3.3
626,44564.21458,1/3/22 5:09,3.4
627,44564.21806,1/3/22 5:14,3.0
