datetime,p2,wind
44633.18333,0.59833,2.3
44633.18681,0.59833,2.9
44633.19028,0.54333,2.7
44633.19375,0.54167,3.0
44633.19722,0.53000,2.6
44633.20069,0.50000,3.0
44633.20417,0.63600,2.7
44633.20764,0.60000,2.2
44633.21458,0.55667,2.3
44633.21806,0.61000,1.7
44633.22153,0.65900,2.4
44633.225,0.72600,2.2
44633.22847,0.74900,1.8
44633.23194,0.73667,2.0
44633.24306,1.07808,2.2
44633.246530000004,0.97333,2.1
44633.25,0.83000,2.6
44633.253469999996,0.79000,2.9
44633.25694,0.60600,3.0
44633.25972,0.66750,2.2
44633.26319,0.65857,2.8
44633.26667,0.65900,3.9
44633.27014,0.73700,4.4
44633.273610000004,0.77500,4.3
44633.27708,0.88125,4.7
44633.28056,1.06000,5.3
44633.28403,0.73800,4.7
44633.2875,0.86900,4.5
44633.29097,0.82500,3.8
44633.29444,0.66571,4.2
44633.29792,0.64333,4.4
44633.30139,0.70800,4.0
44633.304860000004,0.57100,3.8
44633.30833,0.61600,2.8
44633.315969999996,0.54588,2.5
44633.31944,0.83875,3.1
44633.42292,1.35000,7.8
44633.98194,0.85000,1.9
44633.98542,0.96000,2.6
44633.992360000004,0.59000,1.5
44634.152780000004,4762.27143,6.3
44634.15625,0.41700,6.0
44634.159719999996,0.49182,6.2
44634.16319,0.42333,6.3
44634.16667,0.39700,6.1
44634.17708,0.37333,6.0
44634.18056,1.11571,6.4
44634.184030000004,1.05000,6.0
44634.19444,2.58000,5.8
44634.20833,0.36615,5.6
44634.21181,0.36600,5.8
44634.215280000004,0.38300,5.9
44634.21875,0.40700,6.8
44634.222219999996,1.99000,5.8
44634.22569,1.49857,6.3
44634.22917,0.73667,5.0
44634.232639999995,0.63800,5.1
44634.236110000005,0.58500,4.6
44634.24306,0.71500,5.3
44634.246530000004,0.73250,5.5
44634.25,0.78400,4.6
44634.253469999996,0.72300,4.1
44634.25694,0.72200,4.0
44634.26042,0.80286,3.1
44634.263889999995,1.00300,2.7
44634.27431,1.04700,1.8
44634.277780000004,1.01400,1.7
44634.28125,0.89700,2.1
44634.284719999996,0.94100,2.0
44634.28819,0.68400,3.3
44634.29167,0.65600,2.4
44634.295139999995,0.62333,4.1
44634.298610000005,0.66000,5.0
44634.30556,0.67750,3.5
44634.309030000004,0.74500,3.1
44634.3125,0.67000,2.2
44634.315969999996,0.73800,2.7
44634.31944,0.71200,2.5
44634.329860000005,1.12577,2.3
44634.33333,0.90300,1.6
44634.33681,0.96100,2.0
44634.340280000004,0.78000,2.8
44634.34375,0.74100,4.0
44634.347219999996,0.77500,3.0
44634.35069,0.83400,2.6
44634.35417,0.79900,3.3
44634.357639999995,0.72500,2.1
44634.361110000005,0.49500,4.0
44634.36458,0.60800,2.7
44634.36806,0.66100,2.3
44634.378469999996,0.57655,1.8
44634.38194,1.25500,1.6
44634.38542,1.45300,3.3
44634.388889999995,1.25889,2.9
44634.392360000005,0.91250,2.2
44634.39931,3.56250,2.2
44634.409719999996,0.82667,4.4
44634.41319,0.86111,4.1
44634.41667,0.74500,4.4
44634.423610000005,0.60000,4.7
44634.65208,5.93000,1.8
44634.65556,6.20000,5.2
44634.982639999995,0.83500,1.1
44634.986110000005,0.68333,1.6
44634.99306,0.74571,1.8
44634.996530000004,0.80000,2.0
44634.99931,0.84250,1.8
44635.00278,0.82556,2.3
44635.00625,0.83889,2.2
44635.00972,0.85500,2.8
44635.01319,0.82111,3.2
44635.01667,1.04500,3.4
44635.02014,1.19750,3.7
44635.023610000004,1.07000,4.4
44635.02708,0.89000,4.1
44635.03056,1.10400,4.2
44635.03403,0.82400,4.8
44635.0375,0.74100,5.0
44635.04097,0.78000,4.9
44635.04444,0.97200,5.3
44635.059030000004,1.12194,6.4
44635.0625,0.90333,6.5
44635.065969999996,0.78200,6.4
44635.06944,0.87300,6.0
44635.07292,0.82333,6.9
44635.076389999995,0.78250,6.7
44635.079860000005,0.83200,6.3
44635.08333,0.75000,5.6
44635.08681,0.85333,6.0
44635.090280000004,2.19167,5.8
44635.09375,0.93778,5.6
44635.097219999996,0.97444,5.5
44635.10069,0.75300,5.6
44635.10417,0.85111,5.8
44635.107639999995,1.03000,6.4
44635.111110000005,0.66333,6.7
44635.11458,0.62600,6.3
44635.11806,0.64300,5.9
44635.121530000004,1.14000,6.6
44635.125,2.07625,6.3
44635.138889999995,0.89833,6.4
44635.142360000005,0.77400,5.8
44635.14583,0.72500,5.3
44635.14931,0.74857,5.2
44635.152780000004,0.75286,5.6
44635.15625,0.63333,5.7
44635.159719999996,0.81700,6.0
44635.16319,0.82800,5.2
44635.16667,0.68700,6.0
44635.170139999995,0.76143,5.8
44635.173610000005,0.96500,6.2
44635.17708,0.76800,5.8
44635.18056,0.66700,5.7
44635.184030000004,0.68833,5.2
44635.1875,1.18800,5.7
44635.190969999996,1.15000,5.9
44635.19444,0.98700,5.4
44635.19792,0.98400,5.6
44635.201389999995,0.98500,6.0
44635.204860000005,0.99800,5.9
44635.20833,0.95400,6.4
44635.21181,0.84500,6.2
44635.215280000004,0.87400,5.8
44635.21875,0.90900,6.5
44635.222219999996,0.95100,6.1
44635.22569,0.90400,5.2
44635.22917,0.91500,6.0
44635.232639999995,0.96900,5.8
44635.236110000005,1.20900,6.1
44635.23958,1.11000,5.5
44635.24306,1.11500,6.5
